MATRICULA;NOME;REPROVACOES_DE;REPROVACOES_EM;REPROVACOES_MF;REPROVACOES_GO;NOTA_DE;NOTA_EM;NOTA_MF;NOTA_GO;INGLES;H_AULA_PRES;TAREFAS_ONLINE;FALTAS;PERFIL
502375;MÃ¡rcia Illiglener;0;0;0;0;6.2;5.8;4.6;5.9;0.0;2;4;3;DIFICULDADE
397093;Jason Jytereoman Izoimum;0;0;0;0;6.0;6.2;5.2;4.5;1.0;2;4;3;DIFICULDADE
915288;Bartolomeu InÃ¡cio da Gama;0;0;0;0;7.3;6.7;7.1;7.2;0.0;5;0;3;MUITO BOM
192652;Fernanda Guedes;1;3;1;1;0.0;0.0;0.0;0.0;1.0;4;4;4;DIFICULDADE
949491;Alessandre Borba Gomes;1;3;1;1;0.0;0.0;0.0;0.0;1.0;5;2;5;DIFICULDADE
627360;Magali Hellen GejibafliÃ£o;0;0;0;0;7.3;7.4;7.6;6.5;1.0;5;3;5;MUITO BOM
804493;Tiago Brisu Pires;0;0;0;0;5.8;6.0;7.3;5.1;1.0;5;2;6;DIFICULDADE
433789;Andressa Gabrielle da Silva;0;0;0;0;4.9;5.0;5.9;4.6;;2;2;6;DIFICULDADE
178335;Gilmar OsÃ©as Etonvic;0;0;0;0;4.4;4.8;4.7;4.6;1.0;3;4;4;DIFICULDADE
987229;OtÃ¡via MÃ´nica Noopu;0;0;0;0;6.4;5.4;5.0;5.5;1.0;3;5;3;DIFICULDADE
382592;Matheus de Souza dos Pinhais;0;0;0;0;6.9;7.5;7.3;6.0;0.0;3;5;5;EXATAS
422026;Marcos de Rezende Espada Bakeu;3;1;1;1;0.0;0.0;0.0;0.0;;0;1;7;DIFICULDADE
483227;Damares Mara Sobi;1;1;1;1;0.0;0.0;0.0;0.0;;7;5;5;DIFICULDADE
816701;Vitor Ragi;3;1;1;1;0.0;0.0;0.0;;0.0;6;5;3;DIFICULDADE
672601;Luiza Tahichi;1;3;1;1;0.0;0.0;0.0;0.0;;5;2;6;DIFICULDADE
630347;Jaziel da ConceiÃ§Ã£o;0;0;0;0;6.6;4.4;4.9;4.7;1.0;4;2;4;DIFICULDADE
559228;Celso de Pereira;0;0;0;0;6.1;4.7;6.5;5.3;0.0;4;5;3;DIFICULDADE
573688;Regina Conimman;0;0;0;0;5.5;5.1;6.2;4.7;1.0;2;3;6;DIFICULDADE
719970;Yasmin Lopes Gomes Dapitoe;0;0;0;0;6.7;6.5;7.0;5.6;1.0;7;5;3;DIFICULDADE
546151;Janete VitÃ³ria Gomes;0;0;0;0;5.4;5.2;5.0;5.8;1.0;1;3;5;DIFICULDADE
390727;Celso Mariano Hikurode;0;0;0;0;5.3;4.8;4.8;5.3;0.0;3;4;4;DIFICULDADE
394721;Rosana AznanÃ£o;0;0;0;0;7.0;7.4;7.3;7.0;;15;5;2;MUITO BOM
506004;SÃ¢mia Edilene Sayu de Meireles;0;0;0;0;8.0;8.4;10.0;8.5;0.0;10;6;2;EXCELENTE
514791;MÃ¡rcia Juliana de Castro;0;0;0;0;6.9;6.8;5.5;6.3;0.0;8;4;5;DIFICULDADE
656202;Wanda Rosa Weber;0;0;0;0;6.1;5.2;5.6;5.2;;4;5;3;DIFICULDADE
535203;Suely da ParaÃ­ba Tlanokivic;1;1;1;1;0.0;0.0;0.0;0.0;1.0;2;0;3;DIFICULDADE
332396;BÃ³ris Pedro de Ramos;0;0;0;0;7.2;7.4;8.1;;1.0;3;5;2;EXATAS
617599;Walderice Yolanda Oiluer do MaranhÃ£o;0;0;0;0;4.5;4.9;5.5;;1.0;5;2;6;DIFICULDADE
194445;AÃ©cio Eric de Freitas JÃºnior;0;0;0;0;6.7;7.0;5.9;5.6;0.0;5;4;4;DIFICULDADE
856103;Luara Idiz;0;0;0;0;6.2;6.0;5.0;4.3;1.0;5;3;6;DIFICULDADE
644628;KauÃª SÃ­lvio Valverde;0;0;0;0;6.8;7.1;7.9;5.8;0.0;1;4;6;DIFICULDADE
983548;Samuel de Salgado;0;0;0;0;5.9;6.2;5.7;6.3;;3;3;4;DIFICULDADE
364403;Giovanni Freire Gomes;0;0;0;0;5.7;4.9;5.0;5.2;;5;1;3;DIFICULDADE
261521;Eleriane Shingazyttes;0;0;0;0;6.8;5.9;6.7;6.2;0.0;4;2;3;DIFICULDADE
375701;Yolanda de Macedo dos Santos Valente;0;0;0;0;6.1;6.4;5.4;5.4;;2;2;6;DIFICULDADE
148016;Daniela Itamara de SÃ¡ do Vale;0;0;0;0;6.0;6.2;5.4;6.4;1.0;2;4;4;DIFICULDADE
177301;Joaquim da Luz Pomyn JÃºnior;0;0;0;0;6.6;6.9;5.2;;;15;5;5;DIFICULDADE
556989;Wagner Guilherme de Salvador Eicli Nowason;0;0;0;0;6.4;5.7;5.0;;0.0;5;5;3;DIFICULDADE
185935;Augusto Esimdul Utre JÃºnior;0;0;0;0;7.3;7.2;7.6;;1.0;13;5;3;EXATAS
608546;Albina Tina da Silva de Toledo Fiarne;0;0;0;0;6.6;6.0;6.5;6.2;1.0;2;0;3;DIFICULDADE
604099;Josiane Dara de Oliveira Yndube Kratroe Terceiro;0;0;0;0;7.3;8.1;7.1;7.5;0.0;3;5;2;MUITO BOM
